reduction=none | ARI=0.8854187502815696 | AMI=0.7428577032032077 | SIL=0.3911546546573853
reduction=pca | ARI=0.919241338919674 | AMI=0.7483790120405763 | SIL=-0.04166467974270158
reduction=mds | ARI=0.849619317925846 | AMI=0.7097448289518474 | SIL=0.3911717590216244
reduction=none | ARI=0.8990241924584402 | AMI=0.7694445426054315 | SIL=0.3876287170475318
reduction=pca | ARI=0.9055349822048028 | AMI=0.7134526048473215 | SIL=-0.047208191346293275
reduction=mds | ARI=0.9065873766725232 | AMI=0.7892768932873216 | SIL=0.3495951263376279
reduction=none | ARI=0.8950921295670587 | AMI=0.7666939290477 | SIL=0.3991032637810075
reduction=pca | ARI=0.9058845789971613 | AMI=0.7132016844460674 | SIL=-0.05260773464520986
reduction=mds | ARI=0.894158670090553 | AMI=0.7627067757062317 | SIL=0.4392784750943681
reduction=none | ARI=0.8981375861602917 | AMI=0.7559848750316674 | SIL=0.3892531746950337
reduction=pca | ARI=0.9155417398747582 | AMI=0.7358229484160298 | SIL=-0.04305300509245222
reduction=mds | ARI=0.8592422399423345 | AMI=0.7429943728282022 | SIL=0.40851275470475706
reduction=none | ARI=0.8610208586745959 | AMI=0.7274080353248209 | SIL=0.3970259297647824
reduction=pca | ARI=0.8925854845249357 | AMI=0.6835663371760685 | SIL=-0.037698726163204965
reduction=mds | ARI=0.9054124431229446 | AMI=0.7912412544003922 | SIL=0.4042284595301784
reduction=none | ARI=0.8678884533946031 | AMI=0.7500743000027081 | SIL=0.38134463096017257
reduction=pca | ARI=0.9119935126368426 | AMI=0.7318337331053273 | SIL=-0.04310872883965834
reduction=mds | ARI=0.8840473937919536 | AMI=0.7584627154386187 | SIL=0.387120983928113
reduction=none | ARI=0.8746208947155024 | AMI=0.7488516738408654 | SIL=0.38137291785990285
reduction=pca | ARI=0.9036121998468262 | AMI=0.708907798031011 | SIL=-0.044932334390454985
reduction=mds | ARI=0.9026102626481053 | AMI=0.7708962026177485 | SIL=0.4038337875850326
reduction=none | ARI=0.8908230842005675 | AMI=0.7548409602235217 | SIL=0.3856332867058998
reduction=pca | ARI=0.8978132180024331 | AMI=0.7001856563331682 | SIL=-0.03793357867121964
reduction=mds | ARI=0.9010262648105599 | AMI=0.7839979878255412 | SIL=0.4081391796227455
reduction=none | ARI=0.8941658782718386 | AMI=0.7621925285815285 | SIL=0.40925220951026137
reduction=pca | ARI=0.9151633103572556 | AMI=0.7408400175120416 | SIL=-0.046114858629806466
reduction=mds | ARI=0.83040050457269 | AMI=0.7105692258566848 | SIL=0.39424000577148566
reduction=none | ARI=0.8883326575663378 | AMI=0.750299621498814 | SIL=0.41451864867404475
reduction=pca | ARI=0.9012551245663826 | AMI=0.7012065647379623 | SIL=-0.04621661136820724
reduction=mds | ARI=0.9092165607965041 | AMI=0.7961126068556174 | SIL=0.39502529748955656
